Engine_Size_L,Horsepower,Weight_kg,Mileage_km_per_year,Fuel_Tank_Capacity,Age_of_Car,Service_Visits_Per_Year,Fuel_Type,Transmission,Car_Brand,Road_Type,Owner_Type,Fuel_Efficiency_kmpl
2.5,120,1129,19670,62.02,12,1,Diesel,Manual,Toyota,Mixed,Third,38.31
4.8,140,1647,10966,53.42,14,3,Diesel,Automatic,Ford,City,First,25.12
3.93,117,2026,9670,72.9,10,5,Petrol,Manual,Hyundai,Highway,First,17.16
3.39,88,2111,10203,47.12,0,1,Electric,Manual,Honda,Mixed,Second,30.82
1.62,331,844,26518,43.33,6,5,Diesel,Automatic,Honda,Mixed,Third,40.06
1.62,153,1628,23274,79.24,7,3,Petrol,Manual,Ford,Mixed,Third,25.2
1.23,224,997,24589,75.56,11,4,Diesel,Manual,Honda,Mixed,Third,42.2
4.46,122,2039,13669,31.45,8,5,Petrol,Manual,Honda,Highway,Third,16.04
3.4,176,2304,19968,68.54,12,4,Petrol,Automatic,Ford,Mixed,Second,14.43
3.83,373,2132,7366,35.52,2,3,Diesel,Manual,Toyota,City,First,26.82
1.08,204,1695,28943,31.37,14,3,Petrol,Automatic,Ford,Mixed,Third,24.05
4.88,138,2258,23910,43.68,8,5,Diesel,Automatic,Hyundai,Mixed,Third,26.37
4.33,80,1131,29191,43.47,9,5,Petrol,Manual,BMW,Highway,Second,21.23
1.85,212,1495,5366,70.97,4,3,Electric,Manual,Toyota,City,Third,33.82
1.73,261,826,20647,65.53,9,5,Electric,Manual,Ford,City,Third,36.26
1.73,138,1989,27905,79.08,5,5,Diesel,Automatic,Toyota,Highway,First,40.28
2.22,92,1117,14907,65.58,0,5,Diesel,Automatic,BMW,Highway,Third,42.19
3.1,250,2097,11606,50.91,8,5,Diesel,Manual,Honda,City,Third,30.0
2.73,362,2206,5012,64.95,8,1,Diesel,Manual,Honda,City,First,28.97
2.16,78,1164,24623,79.97,5,3,Electric,Automatic,BMW,Mixed,Third,37.27
3.45,340,1926,7317,65.51,7,3,Diesel,Automatic,Honda,Highway,First,30.55
1.56,162,1759,25426,68.08,3,2,Petrol,Automatic,Toyota,City,Second,23.02
2.17,86,2326,20429,76.92,4,4,Petrol,Manual,Honda,City,First,20.58
2.47,223,1172,12485,35.68,4,2,Diesel,Manual,BMW,Highway,First,39.9
2.82,397,2439,21759,65.24,6,5,Petrol,Automatic,BMW,Highway,Third,16.41
4.14,218,1044,5256,72.54,6,5,Diesel,Automatic,BMW,City,Third,29.43
1.8,336,1992,21833,77.72,6,1,Petrol,Manual,Hyundai,Highway,Third,23.19
3.06,397,2451,20903,40.55,4,1,Petrol,Automatic,Toyota,City,Third,12.36
3.37,175,2476,8212,55.2,3,1,Diesel,Manual,BMW,City,First,29.35
1.19,104,2241,11175,64.03,7,1,Diesel,Automatic,Toyota,Mixed,Second,37.81
3.43,188,2179,27327,42.37,0,1,Electric,Automatic,Hyundai,Mixed,Third,29.44
1.68,83,1277,29410,60.02,0,1,Diesel,Automatic,Toyota,Highway,First,44.65
1.26,83,924,18571,42.88,5,1,Electric,Automatic,Ford,Highway,Second,42.44
4.8,335,1336,21087,46.67,1,1,Diesel,Manual,Hyundai,City,Second,28.24
4.86,209,1505,12446,52.08,11,1,Petrol,Automatic,Hyundai,Mixed,Second,11.75
4.23,363,2435,22692,56.46,2,3,Electric,Automatic,Honda,Highway,First,25.12
2.22,188,2225,19877,52.47,3,1,Petrol,Manual,BMW,City,Third,19.68
1.39,307,2340,29723,54.66,13,4,Diesel,Manual,Hyundai,Mixed,First,36.0
3.74,103,1330,17943,44.93,1,1,Diesel,Manual,Toyota,City,Third,34.2
2.76,238,1585,15306,37.95,9,5,Diesel,Automatic,Ford,Mixed,Second,33.46
1.49,79,1053,9016,32.37,6,5,Diesel,Manual,Toyota,City,Second,41.05
2.98,191,920,25324,39.8,14,1,Electric,Automatic,Toyota,Mixed,First,32.56
1.14,214,1855,28097,59.1,9,1,Electric,Manual,Ford,City,Second,35.73
4.64,292,1460,25455,69.31,0,5,Diesel,Automatic,Honda,City,First,28.18
2.04,326,1860,29491,38.46,2,4,Petrol,Manual,BMW,Highway,Third,24.36
3.65,337,2165,10912,35.43,1,2,Electric,Manual,Hyundai,Mixed,Second,26.66
2.25,73,1836,5442,67.46,12,3,Petrol,Manual,BMW,Mixed,Third,21.06
3.08,175,2006,7944,45.26,8,5,Diesel,Automatic,Honda,Highway,Second,33.3
3.19,154,2480,8936,77.57,7,1,Electric,Automatic,Ford,Highway,Third,28.8
1.74,283,2088,5398,65.72,2,3,Electric,Manual,BMW,City,Second,31.61
4.88,190,887,20696,46.34,4,1,Electric,Automatic,Toyota,Mixed,Third,28.02
4.1,201,2285,7995,44.48,2,2,Petrol,Automatic,Hyundai,City,Second,11.34
4.76,266,845,11329,56.18,13,2,Diesel,Automatic,Hyundai,City,First,26.76
4.58,88,2215,7216,33.96,10,5,Diesel,Automatic,Honda,City,Third,24.9
3.39,199,1942,23091,35.88,12,3,Electric,Automatic,Honda,Highway,Third,29.74
4.69,81,1732,16523,38.79,11,3,Electric,Manual,Ford,Mixed,First,26.56
1.35,150,2354,27150,68.74,10,2,Diesel,Automatic,Honda,Highway,First,39.1
1.78,399,2270,27061,55.69,11,1,Petrol,Manual,BMW,Highway,First,21.04
1.18,331,1544,7568,30.53,10,5,Electric,Manual,Hyundai,Mixed,Second,34.96
2.3,194,2429,29022,63.68,5,4,Petrol,Manual,Ford,Mixed,First,20.52
2.55,376,1766,5160,51.18,4,2,Petrol,Automatic,Honda,Highway,Second,18.94
2.09,336,1562,20648,55.54,10,2,Diesel,Automatic,Toyota,Highway,Second,36.73
4.31,209,1561,13067,40.71,1,5,Diesel,Manual,Hyundai,Highway,First,33.39
2.43,398,1593,8904,57.59,13,1,Petrol,Manual,Ford,Mixed,First,17.54
2.12,71,1543,8573,78.96,9,3,Petrol,Manual,Hyundai,Mixed,Second,23.34
3.17,77,1869,6825,33.67,7,2,Diesel,Manual,BMW,City,Third,32.48
1.56,319,2331,18786,44.2,5,5,Electric,Automatic,Honda,Mixed,Third,31.71
4.21,208,1357,14815,42.15,13,5,Petrol,Manual,Honda,Highway,First,17.4
1.3,193,1325,26966,42.43,14,5,Electric,Manual,Honda,Mixed,Third,37.83
4.95,378,1396,18794,48.94,2,3,Petrol,Automatic,Toyota,Mixed,Second,11.95
4.09,297,1639,6176,70.91,12,2,Diesel,Manual,BMW,Mixed,Third,28.23
1.79,79,802,26302,75.64,14,5,Electric,Automatic,Toyota,Highway,Second,40.23
1.02,281,1851,26264,40.11,12,3,Diesel,Manual,BMW,City,First,37.62
4.26,181,2204,24604,57.15,0,1,Petrol,Automatic,BMW,City,First,13.04
3.83,77,956,12820,61.84,4,4,Diesel,Automatic,BMW,Highway,Third,36.87
3.92,361,1654,21514,56.09,11,2,Electric,Automatic,Honda,Highway,First,27.14
4.09,322,1310,28043,51.7,10,3,Diesel,Manual,Honda,City,First,29.69
1.3,83,2156,24946,39.6,1,4,Electric,Automatic,Honda,Highway,Second,39.24
2.43,309,1486,6499,54.41,12,4,Diesel,Manual,Toyota,Mixed,Second,33.95
1.46,311,1937,28814,50.06,1,3,Diesel,Automatic,Ford,Mixed,Second,38.07
4.45,218,2212,29089,69.78,8,3,Electric,Automatic,BMW,City,Second,22.85
3.49,305,2310,12626,68.18,10,3,Electric,Automatic,Toyota,Mixed,First,24.35
2.32,375,2073,28063,36.7,12,5,Electric,Manual,Honda,City,Second,28.69
1.25,236,1370,21137,34.43,14,1,Petrol,Automatic,Honda,Highway,Second,25.64
2.24,89,1514,24172,75.41,9,5,Diesel,Automatic,Ford,City,Second,36.39
2.3,285,2138,26260,56.78,6,4,Electric,Automatic,Honda,City,Third,29.34
3.92,204,1038,8708,72.89,5,4,Petrol,Automatic,BMW,Mixed,Second,17.28
3.55,198,2057,6769,32.91,14,4,Petrol,Manual,Hyundai,City,First,12.86
4.55,363,1102,14510,56.33,12,3,Electric,Manual,Honda,City,First,23.99
2.89,315,1406,19226,56.97,0,2,Electric,Automatic,Ford,City,Second,30.17
1.48,258,1790,20634,73.04,14,5,Electric,Automatic,Hyundai,Highway,Third,35.11
3.85,113,2476,11731,34.88,13,2,Petrol,Automatic,BMW,Mixed,Third,12.32
4.04,155,1133,15965,42.02,9,1,Petrol,Automatic,BMW,Mixed,Third,17.0
3.25,113,912,24428,50.33,1,1,Diesel,Manual,BMW,City,Third,37.65
4.08,399,2444,5375,73.29,10,5,Petrol,Automatic,Ford,City,Second,8.0
2.98,214,1161,20517,76.94,6,4,Electric,Automatic,Hyundai,Highway,Second,34.48
3.09,120,1600,27731,79.64,14,1,Diesel,Manual,BMW,Mixed,First,35.07
2.71,311,896,24420,77.96,2,2,Diesel,Automatic,Honda,Mixed,First,37.18
1.1,363,815,11218,30.3,1,2,Diesel,Automatic,Hyundai,City,Third,39.61
1.43,120,1355,22124,32.39,5,3,Diesel,Manual,BMW,Highway,Third,44.46
1.13,335,1175,13495,37.38,7,4,Electric,Automatic,Hyundai,Highway,First,38.16
3.55,189,1541,6085,47.44,14,3,Diesel,Manual,Honda,City,First,29.72
2.26,269,1189,18073,71.5,7,5,Electric,Automatic,Toyota,City,Third,32.16
3.03,317,1419,16371,74.63,10,1,Petrol,Manual,BMW,City,First,16.82
4.63,139,2040,22594,39.34,1,3,Electric,Manual,Honda,City,Third,25.78
2.0,126,2222,16226,60.98,5,3,Diesel,Automatic,Ford,City,Second,34.31
2.64,108,2083,29804,75.87,11,5,Petrol,Automatic,BMW,Highway,Third,21.47
4.02,358,1623,24503,53.19,4,2,Petrol,Automatic,Toyota,Highway,Second,16.49
1.92,87,1119,15046,35.18,6,2,Petrol,Automatic,Honda,City,Second,23.64
